"Date","Site.Name","COUNTY","latitude_mean","longitude_mean","Month","Year","PM2.5","Ozone"
2018-01-01,"Bryson City","Swain",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-01,"Castle Hayne","New Hanover",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-01,"Clemmons Middle","Forsyth",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-01,"Durham Armory","Durham",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-01,"Garinger High School","Mecklenburg",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,36.2720819148655
2018-01-01,"Hattie Avenue","Forsyth",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-01,"Leggett","Edgecombe",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-01,"Millbrook School","Wake",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,36.2720819148655
2018-01-01,"Pitt Agri. Center","Pitt",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-01,"West Johnston Co.","Johnston",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-02,"Bryson City","Swain",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-02,"Castle Hayne","New Hanover",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-02,"Clemmons Middle","Forsyth",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-02,"Durham Armory","Durham",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-02,"Frying Pan Mountain","Haywood",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-02,"Garinger High School","Mecklenburg",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,36.2720819148655
2018-01-02,"Hattie Avenue","Forsyth",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-02,"Leggett","Edgecombe",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-02,"Linville Falls","Avery",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-02,"Millbrook School","Wake",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,36.2720819148655
2018-01-02,"Pitt Agri. Center","Pitt",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-02,"West Johnston Co.","Johnston",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-03,"Bryson City","Swain",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-03,"Castle Hayne","New Hanover",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-03,"Clemmons Middle","Forsyth",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-03,"Durham Armory","Durham",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-03,"Garinger High School","Mecklenburg",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,36.2720819148655
2018-01-03,"Hattie Avenue","Forsyth",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-03,"Leggett","Edgecombe",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-03,"Mendenhall School","Guilford",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-03,"Millbrook School","Wake",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,36.2720819148655
2018-01-03,"Pitt Agri. Center","Pitt",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-03,"West Johnston Co.","Johnston",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-04,"Bryson City","Swain",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-04,"Castle Hayne","New Hanover",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-04,"Clemmons Middle","Forsyth",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-04,"Durham Armory","Durham",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-04,"Garinger High School","Mecklenburg",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,36.2720819148655
2018-01-04,"Hattie Avenue","Forsyth",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-04,"Leggett","Edgecombe",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-04,"Mendenhall School","Guilford",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-04,"Millbrook School","Wake",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,36.2720819148655
2018-01-04,"Pitt Agri. Center","Pitt",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-04,"West Johnston Co.","Johnston",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-05,"Bryson City","Swain",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-05,"Castle Hayne","New Hanover",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-05,"Clemmons Middle","Forsyth",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-05,"Durham Armory","Durham",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
2018-01-05,"Frying Pan Mountain","Haywood",35.6168491346124,-80.2084963267666,1,2018,36.2720819148655,NA
